City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
Bad Vilbel;0;5.000.001 - 25.000.000;6050000;55;14;20 - 49;291;291;290;49;695;673;63;2160.2808955330793
Niederkrüchten;0;5.000.001 - 25.000.000;20000000;55;3;10 - 19;291;290;291;10;;;;1523.9857007770802
Wolkenstein;0;;;74;4;10 - 19;291;292;290;16;115;113;11;1659.3694251442798
Lüdenscheid;0;5.000.001 - 25.000.000;19000000;74;4;20 - 49;291;291;291;40;55;54;2;1792.8678403378804
Ulm;0;;;16;14;20 - 49;291;291;291;40;222;218;7;1919.9016930322796
Freinsheim;0;;;57;11;20 - 49;291;291;291;24;114;113;6;1919.9016930322796
Julbach;0;;;74;4;20 - 49;;;;20;;;;1894.8930468802796
Eningen;0;5.000.001 - 25.000.000;6500000;19;20;10 - 19;291;290;291;15;;;;1585.6832320690792
Ried;0;;;74;4;20 - 49;291;292;291;30;111;110;6;1931.8849081162798
Borken;0;;;78;28;20 - 49;291;291;291;42;81;81;1;2046.8877100666803
Kirchheimbolanden;0;5.000.001 - 25.000.000;13933481;63;14;20 - 49;291;290;290;42;23;23;0;1885.77616914588
Euskirchen;0;;;40;16;10 - 19;291;291;290;14;88;87;3;2313.5374639534803
Augsburg;0;100.001 - 250.000;200000;25;14;20 - 49;290;290;291;20;370;368;17;1445.5747581514802
Hofheim;0;;;42;22;10 - 19;291;290;291;12;308;305;16;1633.23141872748
Aachen;0;500.001 - 2.500.000;850000;83;28;10 - 19;291;290;291;13;346;344;12;1385.69244669708
Freudenberg;0;;;74;4;10 - 19;291;291;292;16;10;10;0;1643.0583723286802
Ulrichstein;0;500.001 - 2.500.000;1506036;57;11;10 - 19;291;292;291;17;2;2;0;1728.4977645334798
Düren;0;500.001 - 2.500.000;2100000;75;4;20 - 49;291;290;291;20;109;107;3;1974.15355638348
Heilbad Heiligenstadt;0;2.500.001 - 5.000.000;4633237;57;11;50 - 99;291;291;292;50;;;;1959.1379990662801
Wolpertshausen;0;5.000.001 - 25.000.000;24200000;27;20;20 - 49;291;292;292;49;32;31;1;1703.87611790028
Hamburg;0;5.000.001 - 25.000.000;7706429;42;16;10 - 19;291;291;291;15;1428;1098;531;1687.9233549503988
Hannover;0;;;72;14;20 - 49;291;291;291;25;734;723;32;2534.5134048108
Berlin;0;;;88;4;10 - 19;291;291;291;15;2841;2731;265;1425.8783375135993
Dornburg;0;;;57;11;10 - 19;291;292;290;17;32;32;0;1759.18629329148
Westerkappeln;0;500.001 - 2.500.000;2400000;44;14;20 - 49;291;290;291;20;;;;3056.6369997586808
Cuxhaven;0;500.001 - 2.500.000;1832582;62;14;20 - 49;290;290;290;20;7;7;0;2075.0882263126796
Hamburg;0;;;45;15;20 - 49;291;291;291;26;1672;1275;635;1804.281557396399
Pasewalk;0;500.001 - 2.500.000;1300000;40;14;10 - 19;291;290;292;18;3;3;0;2376.3751050466803
Rottenburg;0;;;30;14;20 - 49;291;291;292;40;;;;2001.3060619246799
Prackenbach;0;2.500.001 - 5.000.000;4200000;44;14;20 - 49;291;290;291;45;12;12;1;3403.3501036042817
Augsburg;0;5.000.001 - 25.000.000;13578028;57;18;20 - 49;291;291;291;49;379;376;17;1857.9582615826798
Langenlonsheim;0;500.001 - 2.500.000;1600000;39;14;10 - 19;291;290;291;14;;;;1615.5740585662793
Herford;0;2.500.001 - 5.000.000;2800000;40;14;20 - 49;291;290;291;22;207;200;20;3270.7557725878796
Kölleda;0;;;74;4;20 - 49;291;292;290;48;32;32;1;1914.37737125148
Schwerin;0;;;78;28;20 - 49;291;291;291;26;61;58;7;2046.8877100666803
München;0;500.001 - 2.500.000;2488508;65;14;20 - 49;291;290;291;28;1719;1665;124;1993.0210014155996
Lohmar;0;5.000.001 - 25.000.000;6400000;42;14;20 - 49;291;291;291;26;;;;2079.3106965730794
Hagen;0;2.500.001 - 5.000.000;4200000;42;14;10 - 19;291;291;291;16;410;401;18;1852.8596031850798
Berlin;0;500.001 - 2.500.000;631000;72;20;20 - 49;291;291;291;45;1837;1765;170;1656.4701135935993
Salzgitter;0;2.500.001 - 5.000.000;3350000;24;31;20 - 49;291;290;290;30;63;63;3;2036.3868714874802
Mendig;0;500.001 - 2.500.000;840000;40;14;10 - 19;291;290;290;10;78;77;10;1851.2200280974803
Bad Rappenau;0;500.001 - 2.500.000;2200000;42;14;10 - 19;291;290;291;12;127;124;6;1553.1473399914798
Bodenwöhr;0;5.000.001 - 25.000.000;8980657;22;16;20 - 49;291;292;291;40;15;15;0;2070.7041718042797
Eltville;0;5.000.001 - 25.000.000;5618440;57;11;20 - 49;291;290;290;38;;;;1964.9229416650796
Hamburg;0;5.000.001 - 25.000.000;5358000;59;3;20 - 49;291;290;291;37;1660;1276;620;1942.5640259171992
Stuttgart;0;5.000.001 - 25.000.000;11000000;40;14;20 - 49;291;291;291;45;691;673;36;3544.8324251662793
Löffingen;0;2.500.001 - 5.000.000;5000000;40;14;20 - 49;291;292;291;30;27;27;0;2972.7739594584
Kemberg;0;500.001 - 2.500.000;1100000;63;20;10 - 19;291;290;291;17;;;;1681.5872180602796
Kempten;0;5.000.001 - 25.000.000;22000000;42;14;20 - 49;291;291;290;48;56;54;4;2079.1206243790803
Karlsruhe;0;;;74;4;20 - 49;291;291;291;30;367;360;19;1931.8849081162798
Bad Camberg;0;5.000.001 - 25.000.000;10300000;10;14;20 - 49;291;291;290;48;56;56;1;1996.74502323228
Eisenberg;0;5.000.001 - 25.000.000;10000000;33;20;10 - 19;291;290;291;17;46;42;8;1845.94568111628
Leinefelde-Worbis;0;500.001 - 2.500.000;2350000;63;14;10 - 19;291;290;291;15;;;;1611.2066615914796
Herford;0;500.001 - 2.500.000;880000;72;16;20 - 49;291;290;291;29;198;189;19;1830.0795671014798
Sankt Augustin;0;5.000.001 - 25.000.000;7547558;42;16;20 - 49;291;291;291;20;426;423;29;2042.3188353370795
Georgsmarienhütte;0;2.500.001 - 5.000.000;4300000;22;14;20 - 49;291;291;291;38;;;;2097.72467452908
Neumark;0;500.001 - 2.500.000;1982627;24;14;20 - 49;291;292;290;25;59;59;6;1975.2541688866802
Frankfurt;0;2.500.001 - 5.000.000;4004097;40;14;20 - 49;291;291;291;49;842;818;74;3373.6389819432
Wasbek;0;5.000.001 - 25.000.000;12100000;42;14;20 - 49;291;290;291;44;56;53;10;1978.13389009908
Steißlingen;0;500.001 - 2.500.000;1500000;56;14;10 - 19;291;291;292;11;;;;1502.9404075174803
Doberschütz;0;5.000.001 - 25.000.000;5700000;1;11;20 - 49;291;292;290;35;30;30;0;2078.29565104428
Oberursel;0;;;32;14;20 - 49;291;291;291;23;723;704;59;2120.008336047479
Bad Berleburg;0;5.000.001 - 25.000.000;5700000;41;14;10 - 19;291;291;292;18;8;8;0;1918.06012163268
Berlin;0;5.000.001 - 25.000.000;5764110;42;11;20 - 49;291;291;291;25;2251;2163;207;1942.5640259171992
Nidderau;0;500.001 - 2.500.000;1200000;42;14;10 - 19;291;290;292;10;102;102;3;1413.2930719486803
Usingen;0;2.500.001 - 5.000.000;2650000;25;14;20 - 49;291;291;290;22;62;62;3;2045.1589219306807
Frankleben;0;500.001 - 2.500.000;1400000;47;13;10 - 19;291;290;291;14;;;;1976.3875744054799
Hamburg;0;5.000.001 - 25.000.000;11000000;61;13;20 - 49;291;291;291;20;1690;1295;635;1905.572164681199
Hamburg;0;50.000.001 - 500.000.000;364170255;42;20;20 - 49;291;291;291;28;1689;1288;642;1742.2867314599994
Bayreuth;0;2.500.001 - 5.000.000;2761440;22;14;20 - 49;291;290;291;31;56;56;3;2035.3105344946805
Schrobenhausen;0;5.000.001 - 25.000.000;5100000;24;14;20 - 49;291;290;291;41;20;20;0;2045.55427548828
Osterode;0;500.001 - 2.500.000;882000;40;14;10 - 19;291;290;292;13;18;18;0;1771.1163840154804
Herxheim;0;500.001 - 2.500.000;2150000;40;14;10 - 19;291;290;292;14;72;72;1;2381.26071538188
Mannheim;0;2.500.001 - 5.000.000;3500000;40;16;20 - 49;291;291;291;37;545;533;40;3460.716202965479
Salzkotten;0;2.500.001 - 5.000.000;3000000;39;16;10 - 19;291;290;291;10;45;43;2;1593.0627658894796
Würzburg;0;2.500.001 - 5.000.000;3700000;55;16;20 - 49;291;290;291;38;166;163;8;2116.4740740610796
Dorsten;0;;;43;16;20 - 49;291;291;291;36;217;215;11;1962.9712989394798
Mainz;0;5.000.001 - 25.000.000;5200000;73;14;20 - 49;;;;35;372;356;27;2079.3106965730794
